var_name,Value,Unit
Form + Close Ribs,0.6324066549092291,[kg]
Hinge Ribs,0.19477357073314347,[kg]
Hinges,"[0.24792504772749688, 0.21819322032052366, 0.19986859420220773, 0.2046368664946997]",[kg]
