1.0100 0
1.0000 0.0025200
0.9500 0.0161300
0.9000 0.0289600
0.8000 0.0524700
0.7000 0.0732800
0.6000 0.0912700
0.5000 0.1058800
0.4000 0.1160700
0.3000 0.1200400
0.2500 0.1188300
0.2000 0.1147500
0.1500 0.1069100
0.1000 0.0936500
0.0750 0.0840000
0.0500 0.0710900
0.0250 0.0522900
0.0125 0.0378800
0.0000 0
0.0125 -0.009091
0.0250 -0.012549
0.0500 -0.017061
0.0750 -0.020160
0.1000 -0.022476
0.1500 -0.025658
0.2000 -0.027540
0.2500 -0.028519
0.3000 -0.028809
0.4000 -0.027856
0.5000 -0.025411
0.6000 -0.021904
0.7000 -0.017587
0.8000 -0.012592
0.9000 -0.006950
0.9500 -0.003871
1.0000 -0.000604
1.0100 0
