var_name,Value,Unit,Comment
w_c_root,3.2,[m],Length of the main wing root chord
sweep_angle,NaN,[degrees],Sweep angle of the main wing (NaN for auto)
taper_ratio,0.3,[ratio],Taper ratio of the main wing (NaN for auto)
dihedral_angle,NaN,[degrees],Dihedral angle of the main wing (NaN for auto)
TechFactor,0.86,[],TechFactor of the main wing
w_span,7,[m],W span of the main wing 
airfoil_root,airfoil.dat,[],airfoil file name
airfoil_tip,airfoil.dat,[],airfoil file name
