nr_plies,D11,D22,D33,D12,G,E,rho,t
4,1776,1776,739,1272,11615,35059,0.8,0.8
6,5800,5800,2688,4486,14154,28950,1.2,1.2
8,14124,14124,5995,10257,15423,25628,1.6,1.6
10,28020,28020,11277,19599,16185,23540,2,2
12,48838,48838,19067,33448,14154,28950,2.4,2.4
14,78174,78174,29656,52492,14879,27075,2.8,2.8
16,117463,117463,43496,77585,13519,30541,3.2,3.2
18,168381,168381,60798,109333,12462,33097,3.6,3.6
20,232605,232605,81769,148348,13138,31475,4,4
