nr_plies,D11,D22,D33,D12,G,E,rho,t
4,1776,1776,739,1272,11615,35059,0.8,0.8
6,6369,6369,2119,3917,9077,40546,1.2,1.2
8,15668,15668,4452,8713,11615,35059,1.6,1.6
10,31106,31106,8190,16513,10092,38420,2,2
12,54361,54361,13543,27924,9077,40546,2.4,2.4
14,87110,87110,20720,43557,10527,37481,2.8,2.8
16,130785,130785,30174,64263,9712,39228,3.2,3.2
18,187064,187064,42114,90650,9077,40546,3.6,3.6
20,257624,257624,56750,123329,10092,38420,4,4
